video_id,title,fetched_date,rank,previous_rank,daily_rank_change
Tg95aH1Hp5Q,SUPERGIRL TRAILER BREAKDOWN! Easter Eggs & Details You Missed!,2025-12-15,47,44.0,-3.0
U9Llp6OwuNs,Abejoye Season 9 || OFFICIAL TRAILER || Showing from December 14,2025-12-14,5,,
U9Llp6OwuNs,Abejoye Season 9 || OFFICIAL TRAILER || Showing from December 14,2025-12-15,2,5.0,3.0
V6c8rvMbiCY,Jux - Majo (Official Lyric Video),2025-12-14,43,,
V6c8rvMbiCY,Jux - Majo (Official Lyric Video),2025-12-15,49,43.0,-6.0
XtB9l7Dbs_c,🔴Chelsea vs Everton Live I English Premier League Full Match Live Stream I eFootball PES 21,2025-12-14,48,,
YqdAEdkHrwo,Supergirl | Official Teaser Trailer,2025-12-14,2,,
YqdAEdkHrwo,Supergirl | Official Teaser Trailer,2025-12-15,5,2.0,-3.0
_486dPklBLU,I Secretly Got Trained By My Minecraft Killer,2025-12-14,27,,
_486dPklBLU,I Secretly Got Trained By My Minecraft Killer,2025-12-15,42,27.0,-15.0
byUa5hRNIP4,Long Slide Game With Cow Elephant Gorilla Hippopotamus Tiger 3d Animal Game Funny 3d Animals,2025-12-15,21,,
cM33s50feL4,MAVO – Shakabulizzy Remix (Feat. Davido) [Official Music Video],2025-12-14,13,,
cM33s50feL4,MAVO – Shakabulizzy Remix (Feat. Davido) [Official Music Video],2025-12-15,13,13.0,0.0
duFavBDXh1I,O DARA | NATHANIEL BASSEY #nathanielbassey #worship #odara,2025-12-14,10,,
duFavBDXh1I,O DARA | NATHANIEL BASSEY #nathanielbassey #worship #odara,2025-12-15,4,10.0,6.0
eNUsFZRBJ8o,SIDEMEN AMONG US TOMAHAWK ROLE,2025-12-14,12,,
eNUsFZRBJ8o,SIDEMEN AMONG US TOMAHAWK ROLE,2025-12-15,18,12.0,-6.0
ek6tuIxGP5I,Real Madrid vs Manchester City LIVE | Champions League 2025/26 | PES21 Simulation,2025-12-14,21,,
